,—éŽ­Žs,0
1158,1159,1073.55
1159,1071,852.46
1160,1038,987.1533333333333
1161,1228,1160.88
1162,1555,1282.14
1163,1631,1532.97
1164,1969,1740.8666666666666
1165,2351,1739.97
1166,2447,1937.34
1167,2259,1910.68
1168,1882,1791.9977777777779
1169,1472,1362.6533333333334
1170,1396,1208.92
1171,1423,1051.5433333333333
1172,1345,1055.0733333333333
1173,1731,1045.156
1174,1873,862.3233333333334
1175,2246,1249.81
1176,2371,1432.2766666666666
1177,2227,1491.92
1178,2042,1301.8733333333332
1179,1882,1164.0433333333333
1180,1683,1181.3166666666666
1181,1574,1148.1309999999999
1182,1497,1113.3066666666666
1183,1415,994.2927777777779
1184,1393,1090.1005555555557
1185,1361,1030.18
1186,1537,1150.8283333333334
1187,1686,1367.29
1188,1813,1526.2833333333333
1189,2045,1688.05
1190,2098,1782.4222222222224
1191,1972,1676.8866666666668
1192,1758,1463.1460000000002
1193,1490,1244.4
1194,1231,988.1866666666666
1195,1065,821.1194444444445
1196,922,734.1866666666666
1197,904,725.4533333333334
1198,977,841.592
1199,1246,1191.91
1200,1616,1620.9719047619046
1201,1824,1542.03
1202,1756,1305.28
1203,1636,1260.15
1204,1537,1121.999388888889
1205,1472,1069.9066666666668
1206,1436,1160.815
1207,1303,1045.6966666666667
1208,1242,972.64
1209,1229,1087.0766666666666
1210,1294,1151.38
1211,1467,1334.63
1212,1605,1675.6433333333334
1213,1748,1851.15
1214,1827,1872.5433333333333
1215,1800,1825.5333333333333
1216,1602,1587.6625
1217,1358,1319.8486666666668
1218,1120,1048.12
1219,957,841.6166666666667
1220,816,720.2275
1221,790,756.6425
1222,863,819.4566666666667
1223,1058,1175.5266666666666
1224,1354,1524.78
1225,1589,1496.3666666666666
1226,1561,1257.1966666666667
1227,1500,1147.3533333333332
1228,1400,1082.9133333333334
1229,1359,1082.5633333333333
1230,1336,1090.3733333333332
1231,1258,1009.9866666666667
1232,1216,1020.84
1233,1190,1017.2466666666667
1234,1312,1125.279761904762
1235,1550,1381.5433333333333
1236,1692,1532.09
1237,1890,1762.4133333333334
1238,1957,1734.5133333333333
1239,1827,1681.5625
1240,1577,1448.258
1241,1307,1208.8333333333333
1242,1069,1007.62
1243,885,827.2304444444446
1244,756,735.9844444444444
1245,758,771.1655555555556
1246,891,917.7066666666667
1247,1171,1227.86
1248,1488,1543.0366666666666
1249,1393,1415.0477777777778
1250,1177,1234.3566666666666
1251,1152,1166.12
1252,1108,1081.24
1253,1074,1050.1266666666668
1254,1089,1124.18
1255,1051,1031.83
1256,989,1037.35
1257,1012,1006.4033333333333
1258,1196,1195.37
1259,1443,1373.45
1260,1701,1539.06
1261,1941,1749.47
1262,1953,1750.7273015873013
1263,1860,1655.2241666666666
1264,1557,1458.6146666666666
1265,1289,1245.6566666666668
1266,1084,982.7566666666667
1267,882,829.680507936508
1268,766,711.2011111111111
1269,805,749.1516666666666
1270,905,822.6477777777777
1271,1322,1227.38
1272,1642,1527.93
