,Žl“úŽsŽs,0
1074,104,116.55399999999999
1075,90,82.43
1076,77,79.07
1077,124,137.81666666666666
1078,225,241.055
1079,368,351.7875
1080,378,332.43333333333334
1081,307,284.99333333333334
1082,227,220.505
1083,193,217.18388888888887
1084,169,186.44722222222222
1085,171,161.8
1086,148,151.69666666666666
1087,136,145.87666666666667
1088,128,144.30666666666667
1089,169,165.15
1090,232,222.24833333333333
1091,296,275.83666666666664
1092,370,290.56666666666666
1093,407,316.31666666666666
1094,349,298.4433333333333
1095,281,261.82416666666666
1096,201,211.72333333333333
1097,151,150.06333333333333
1098,106,109.69666666666667
1099,86,92.20333333333333
1100,89,74.7
1101,99,92.89
1102,226,209.553
1103,348,284.8011111111111
1104,356,324.9028571428571
1105,284,263.01666666666665
1106,220,243.29777777777775
1107,171,190.29333333333332
1108,162,164.7855396825397
1109,154,171.97
1110,161,145.76333333333332
1111,145,150.39666666666668
1112,139,141.94538888888886
1113,157,190.08333333333334
1114,227,230.15666666666667
1115,279,274.07666666666665
1116,358,293.25377777777777
1117,378,343.9633333333333
1118,354,316.1666666666667
1119,291,251.37333333333333
1120,214,211.69666666666666
1121,150,153.88333333333333
1122,117,106.0
1123,86,88.72
1124,72,67.41361111111112
1125,107,86.87916666666666
1126,217,177.56333333333333
1127,386,327.66333333333336
1128,381,343.59
1129,296,277.32900000000006
1130,233,211.90666666666667
1131,188,184.17188888888887
1132,169,151.49333333333334
1133,154,171.01
1134,169,152.24
1135,145,128.62666666666667
1136,140,136.69333333333333
1137,170,156.30333333333334
1138,227,200.85333333333332
1139,297,280.3433333333333
1140,374,278.22333333333336
1141,383,315.73333333333335
1142,349,301.03
1143,276,267.44666666666666
1144,204,209.41033333333334
1145,145,167.33666666666667
1146,101,120.76666666666667
1147,99,87.39
1148,70,76.27
1149,97,78.5032222222222
1150,184,190.25666666666666
1151,335,311.87
1152,322,307.9027777777778
1153,246,245.8077777777778
1154,205,226.36666666666667
1155,186,191.54
1156,193,190.46
1157,190,168.05333333333334
1158,195,161.40166666666667
1159,177,143.13333333333333
1160,189,178.03
1161,260,212.09333333333333
1162,359,287.71377777777775
1163,491,260.5495
1164,550,355.0425
1165,557,322.57
1166,474,325.66333333333336
1167,356,312.77666666666664
1168,269,253.34
1169,226,202.96666666666667
1170,260,141.66
1171,359,149.58333333333334
1172,510,131.90666666666667
1173,598,154.85666666666665
1174,628,212.92
1175,652,338.81333333333333
1176,555,307.07
1177,433,278.11555555555555
1178,309,220.10333333333332
1179,295,209.17666666666668
1180,266,166.62866666666667
1181,236,150.90333333333334
1182,250,148.33666666666667
1183,205,143.57666666666665
1184,219,135.62
1185,267,151.03666666666666
1186,330,196.08333333333334
1187,373,265.4066666666667
1188,414,291.18
1189,403,339.54
1190,387,333.5733333333333
1191,317,295.06
1192,266,207.21666666666667
1193,187,154.09333333333333
1194,148,113.42333333333333
1195,126,85.47666666666667
1196,123,149.68
1197,133,107.34
1198,249,180.79261904761904
1199,399,289.74666666666667
1200,458,336.4066666666667
1201,402,257.16333333333336
1202,307,217.7
1203,257,185.12
1204,253,152.93277777777777
1205,203,138.01285714285714
1206,179,168.38
1207,159,144.4272222222222
1208,154,151.97
1209,196,160.10666666666665
1210,234,196.26333333333332
1211,271,246.15
